message,classification
how do I get a verokortti?,LOGISTICS
verokortti,LOGISTICS
whatsup,TRANSPORTATION
eogjwgjweg,TRANSPORTATION
perkele,TRANSPORTATION
@help,atCommand
@help,atCommand
Verokortti,LOGISTICS
Verokortti,LOGISTICS
@help,atCommand
How do I get a verokortti?,LOGISTICS
How do I get a bus pass,TRANSPORTATION
Which bus goes to the airport,TRANSPORTATION
@viked,atCommand
@help,atCommand
buss tivket,TRANSPORTATION
@help,atCommand
Which bus goes downtown,TRANSPORTATION
how do I get downtown?,TRANSPORTATION
What's the fastest way to get to the airport,TRANSPORTATION
I need a vero kortti,IMMIGRATION
When does the last bus leave?,TRANSPORTATION
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
Gghgggg,TRANSPORTATION
@bikes,atCommand
@help,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@help,atCommand
how can I get a bank account,LOGISTICS
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
How do I get downtown,TRANSPORTATION
@bikes,atCommand
@help,atCommand
@bikes,atCommand
@bikes,atCommand
Which bus goes downtown?,TRANSPORTATION
@bikes,atCommand
Which bus goes downtown,TRANSPORTATION
Ferry times,TRANSPORTATION
tickets,TRANSPORTATION
whatup,TRANSPORTATION
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
@bikes,atCommand
